location,year_week,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
Australia,2019-12-30/2020-01-05,0.0,0.0,0.0,0.0,,,
Australia,2020-01-06/2020-01-12,0.0,0.0,0.0,0.0,,,
Australia,2020-01-13/2020-01-19,0.0,0.0,0.0,0.0,,,
Australia,2020-01-20/2020-01-26,4.0,0.0,4.0,0.0,,,
Australia,2020-01-27/2020-02-02,8.0,0.0,12.0,0.0,,,
Australia,2020-02-03/2020-02-09,3.0,0.0,15.0,0.0,,,
Australia,2020-02-10/2020-02-16,0.0,0.0,15.0,0.0,,,
Australia,2020-02-17/2020-02-23,7.0,0.0,22.0,0.0,,,
Australia,2020-02-24/2020-03-01,3.0,0.0,25.0,0.0,,,
Australia,2020-03-02/2020-03-08,45.0,4.0,70.0,4.0,,,
Australia,2020-03-09/2020-03-15,179.0,3.0,249.0,7.0,,,
Australia,2020-03-16/2020-03-22,832.0,2.0,1081.0,9.0,,,
Australia,2020-03-23/2020-03-29,2728.0,7.0,3809.0,16.0,,,
Australia,2020-03-30/2020-04-05,1826.0,20.0,5635.0,36.0,,,
Australia,2020-04-06/2020-04-12,654.0,25.0,6289.0,61.0,,,
Australia,2020-04-13/2020-04-19,297.0,12.0,6586.0,73.0,,,
Australia,2020-04-20/2020-04-26,117.0,12.0,6703.0,85.0,,,
Australia,2020-04-27/2020-05-03,80.0,14.0,6783.0,99.0,,,
Australia,2020-05-04/2020-05-10,146.0,2.0,6929.0,101.0,,,
Australia,2020-05-11/2020-05-17,107.0,2.0,7036.0,103.0,,,
Australia,2020-05-18/2020-05-24,70.0,4.0,7106.0,107.0,,,
Australia,2020-05-25/2020-05-31,79.0,0.0,7185.0,107.0,,,
Australia,2020-06-01/2020-06-07,70.0,0.0,7255.0,107.0,,,
Australia,2020-06-08/2020-06-14,47.0,0.0,7302.0,107.0,,,
Australia,2020-06-15/2020-06-21,134.0,0.0,7436.0,107.0,,,
Australia,2020-06-22/2020-06-28,205.0,1.0,7641.0,108.0,,,
Australia,2020-06-29/2020-07-05,721.0,1.0,8362.0,109.0,,,
Australia,2020-07-06/2020-07-12,1191.0,4.0,9553.0,113.0,,,
Australia,2020-07-13/2020-07-19,1888.0,16.0,11441.0,129.0,,,
Australia,2020-07-20/2020-07-26,2509.0,45.0,13950.0,174.0,,,
Australia,2020-07-27/2020-08-02,3332.0,95.0,17282.0,269.0,,,
Australia,2020-08-03/2020-08-09,3416.0,106.0,20698.0,375.0,,,
Australia,2020-08-10/2020-08-16,2337.0,138.0,23035.0,513.0,,,
Australia,2020-08-17/2020-08-23,1567.0,114.0,24602.0,627.0,,,
Australia,2020-08-24/2020-08-30,945.0,97.0,25547.0,724.0,,,
Australia,2020-08-31/2020-09-06,660.0,58.0,26207.0,782.0,,,
Australia,2020-09-07/2020-09-13,400.0,46.0,26607.0,828.0,,,
Australia,2020-09-14/2020-09-20,278.0,36.0,26885.0,864.0,,,
Australia,2020-09-21/2020-09-27,131.0,23.0,27016.0,887.0,,,
Australia,2020-09-28/2020-10-04,105.0,19.0,27121.0,906.0,,,
Australia,2020-10-05/2020-10-11,123.0,5.0,27244.0,911.0,,,
Australia,2020-10-12/2020-10-18,139.0,1.0,27383.0,912.0,,,
Australia,2020-10-19/2020-10-25,116.0,2.0,27499.0,914.0,,,
Australia,2020-10-26/2020-11-01,91.0,0.0,27590.0,914.0,,,
Australia,2020-11-02/2020-11-08,62.0,0.0,27652.0,914.0,,,
Australia,2020-11-09/2020-11-15,59.0,3.0,27711.0,917.0,,,
Australia,2020-11-16/2020-11-22,96.0,0.0,27807.0,917.0,,,
Australia,2020-11-23/2020-11-29,78.0,1.0,27885.0,918.0,,,
Australia,2020-11-30/2020-12-06,71.0,1.0,27956.0,919.0,,,
Australia,2020-12-07/2020-12-13,69.0,0.0,28025.0,919.0,,,
Australia,2020-12-14/2020-12-20,103.0,0.0,28128.0,919.0,,,
Australia,2020-12-21/2020-12-27,168.0,1.0,28296.0,920.0,,,
Australia,2020-12-28/2021-01-03,187.0,2.0,28483.0,922.0,,,
Australia,2021-01-04/2021-01-10,112.0,0.0,28595.0,922.0,,,
Australia,2021-01-11/2021-01-17,113.0,1.0,28708.0,923.0,,,
Australia,2021-01-18/2021-01-24,58.0,0.0,28766.0,923.0,,,
Australia,2021-01-25/2021-01-31,45.0,0.0,28811.0,923.0,,,
Australia,2021-02-01/2021-02-07,39.0,0.0,28850.0,923.0,,,
Australia,2021-02-08/2021-02-14,48.0,0.0,28898.0,923.0,,,
Australia,2021-02-15/2021-02-21,28.0,1.0,28926.0,924.0,20.0,,20.0
Australia,2021-02-22/2021-02-28,44.0,0.0,28970.0,924.0,34618.0,12.0,34630.0
Australia,2021-03-01/2021-03-07,67.0,0.0,29037.0,924.0,86345.0,24.0,86369.0
Australia,2021-03-08/2021-03-14,80.0,1.0,29117.0,925.0,164746.0,35.0,164781.0
Australia,2021-03-15/2021-03-21,79.0,0.0,29196.0,925.0,262283.0,19677.0,281960.0
Australia,2021-03-22/2021-03-28,64.0,0.0,29260.0,925.0,505085.0,36676.0,541761.0
Australia,2021-03-29/2021-04-04,88.0,1.0,29348.0,926.0,762679.0,81630.0,844309.0
Australia,2021-04-05/2021-04-11,57.0,0.0,29405.0,926.0,1029486.0,148816.0,1178302.0
Australia,2021-04-12/2021-04-18,114.0,2.0,29519.0,928.0,1399808.0,186748.0,1586556.0
Australia,2021-04-19/2021-04-25,147.0,0.0,29666.0,928.0,1704743.0,232742.0,1937485.0
Australia,2021-04-26/2021-05-02,160.0,0.0,29826.0,928.0,1999899.0,260716.0,2260615.0
Australia,2021-05-03/2021-05-09,97.0,0.0,29923.0,928.0,2368476.0,294745.0,2663221.0
Australia,2021-05-10/2021-05-16,52.0,0.0,29975.0,928.0,2768527.0,331610.0,3100137.0
