location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Australia,2019-12-30/2020-01-05,0.0,,,0.0,,,0.0,Low
Australia,2020-01-06/2020-01-12,0.0,,,0.0,,,0.0,Low
Australia,2020-01-13/2020-01-19,0.0,,,0.0,,,0.0,Low
Australia,2020-01-20/2020-01-26,4.0,,,1.319780942759121e-05,,,6.598904713795605e-06,Low
Australia,2020-01-27/2020-02-02,8.0,,,2.639561885518242e-05,,,1.319780942759121e-05,Low
Australia,2020-02-03/2020-02-09,3.0,,,9.898357070693408e-06,,,4.949178535346704e-06,Low
Australia,2020-02-10/2020-02-16,0.0,,,0.0,,,0.0,Low
Australia,2020-02-17/2020-02-23,7.0,,,2.3096166498284615e-05,,,1.1548083249142308e-05,Low
Australia,2020-02-24/2020-03-01,3.0,,,9.898357070693408e-06,,,4.949178535346704e-06,Low
Australia,2020-03-02/2020-03-08,45.0,,,0.0001484753560604011,,,7.423767803020055e-05,Low
Australia,2020-03-09/2020-03-15,179.0,0.01405,,0.0005906019718847067,-0.43842907936101394,,-0.1531548767904125,Low
Australia,2020-03-16/2020-03-22,832.0,0.0081714285714285,,0.0027451443609389716,-0.47237622482038977,,-0.16395910650666692,Low
Australia,2020-03-23/2020-03-29,2728.0,0.0224571428571428,,0.009000906029617204,-0.3898801240685663,,-0.13195759040918958,Low
Australia,2020-03-30/2020-04-05,1826.0,0.0266857142857142,,0.006024800003695387,-0.36546127824602676,,-0.12489904738426166,Low
Australia,2020-04-06/2020-04-12,654.0,0.0160714285714285,,0.0021578418414111627,-0.4267558811046314,,-0.14828563746591542,Low
Australia,2020-04-13/2020-04-19,297.0,0.007,,0.0009799373499986472,-0.47914090508203877,,-0.16720934810371424,Low
Australia,2020-04-20/2020-04-26,117.0,0.0023142857142857,,0.00038603592575704287,-0.506199626128637,,-0.17697685118214443,Low
Australia,2020-04-27/2020-05-03,80.0,0.0010142857142857,,0.0002639561885518242,-0.5137067712970529,,-0.17966539185969257,Low
Australia,2020-05-04/2020-05-10,146.0,0.0008571428571428,,0.00048172004410707914,-0.5146142284053231,,-0.17987411991980953,Low
Australia,2020-05-11/2020-05-17,107.0,0.0005,,0.00035304140218806487,-0.5166766309241184,,-0.1806603001223474,Low
Australia,2020-05-18/2020-05-24,70.0,0.0004,,0.00023096166498284617,-0.5172541036293812,,-0.18092345543779198,Low
Australia,2020-05-25/2020-05-31,79.0,0.0003285714285714,,0.00026065673619492637,-0.5176665841331405,,-0.1810529760785017,Low
