location,year_week,daily_vaccinations,daily_vaccinations_raw,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
Australia,2021-02-15/2021-02-21,0.0,0.0,0.0,0.0,0.0,20.0,20.0,,,0.0,0.0,,
Australia,2021-02-22/2021-02-28,33876.0,34610.0,33867.0,0.01842857142857143,184.85714285714286,34630.0,34618.0,12.0,,0.13,0.13,0.0,
Australia,2021-03-01/2021-03-07,46305.0,51739.0,46296.0,0.02514285714285714,252.57142857142858,86369.0,86345.0,24.0,,0.33,0.33,0.0,
Australia,2021-03-08/2021-03-14,68497.0,78412.0,68483.0,0.03742857142857143,373.57142857142856,164781.0,164746.0,35.0,,0.63,0.63,0.0,
Australia,2021-03-15/2021-03-21,99344.0,117179.0,95153.0,0.052,542.2857142857143,281960.0,262283.0,19677.0,,1.08,1.0,0.08,
Australia,2021-03-22/2021-03-28,209515.0,259801.0,182830.0,0.09985714285714287,1143.4285714285713,541761.0,505085.0,36676.0,,2.07,1.93,0.14,
Australia,2021-03-29/2021-04-04,319913.0,302548.0,280605.0,0.15314285714285716,1745.857142857143,844309.0,762679.0,81630.0,,3.23,2.91,0.31,
Australia,2021-04-05/2021-04-11,283058.0,333993.0,231965.0,0.12642857142857142,1544.857142857143,1178302.0,1029486.0,148816.0,,4.5,3.93,0.57,
Australia,2021-04-12/2021-04-18,362212.0,408254.0,308236.0,0.1682857142857143,1976.5714285714287,1586556.0,1399808.0,186748.0,,6.06,5.35,0.71,
Australia,2021-04-19/2021-04-25,418577.0,350929.0,373764.0,0.20385714285714288,2284.1428571428573,1937485.0,1704743.0,232742.0,,7.4,6.51,0.89,
Australia,2021-04-26/2021-05-02,320277.0,323130.0,290447.0,0.15857142857142859,1747.857142857143,2260615.0,1999899.0,260716.0,,8.64,7.64,1.0,
Australia,2021-05-03/2021-05-09,378056.0,402606.0,344730.0,0.18814285714285714,2063.0,2663221.0,2368476.0,294745.0,,10.17,9.05,1.13,
Australia,2021-05-10/2021-05-16,426214.0,436916.0,390733.0,0.21314285714285713,2325.8571428571427,3100137.0,2768527.0,331610.0,,11.84,10.58,1.27,
Australia,2021-05-17/2021-05-23,487454.0,512916.0,374971.0,0.2047142857142857,2660.1428571428573,3613053.0,3168814.0,434769.0,,13.8,12.11,1.66,
Australia,2021-05-24/2021-05-30,564494.0,630547.0,513248.0,0.2802857142857143,3080.4285714285716,4243600.0,3743622.0,499978.0,,16.21,14.3,1.91,
Australia,2021-05-31/2021-06-06,754267.0,832813.0,677657.0,0.36985714285714283,4116.285714285715,5076413.0,4463413.0,613000.0,,19.39,17.05,2.34,
Australia,2021-06-07/2021-06-13,834266.0,790886.0,655719.0,0.3578571428571428,4552.857142857143,5867299.0,5000913.0,866386.0,,22.41,19.1,3.31,
Australia,2021-06-14/2021-06-20,725616.0,723442.0,464448.0,0.2532857142857143,3959.8571428571427,6590741.0,5509653.0,1081088.0,,25.18,21.05,4.13,
Australia,2021-06-21/2021-06-27,777468.0,783925.0,459250.0,0.25085714285714283,4242.857142857143,7374666.0,5897308.0,1477358.0,,28.17,22.53,5.64,
Australia,2021-06-28/2021-07-04,803702.0,851320.0,416905.0,0.22728571428571429,4386.142857142857,8225986.0,6348365.0,1877621.0,,31.42,24.25,7.17,
Australia,2021-07-05/2021-07-11,891913.0,897801.0,433950.0,0.23685714285714285,4867.571428571428,9123787.0,6798066.0,2325721.0,,34.85,25.97,8.88,
Australia,2021-07-12/2021-07-18,949433.0,979372.0,465266.0,0.254,5181.285714285715,10103159.0,7274900.0,2828259.0,,38.59,27.79,10.8,
Australia,2021-07-19/2021-07-25,1047231.0,1096650.0,531271.0,0.29,5715.0,11199809.0,7840804.0,3359005.0,,42.78,29.95,12.83,
Australia,2021-07-26/2021-08-01,1168060.0,1210318.0,591924.0,0.3231428571428571,6374.571428571428,12410127.0,8445404.0,3964723.0,,47.41,32.26,15.15,
Australia,2021-08-02/2021-08-08,1284791.0,1350341.0,633613.0,0.3458571428571428,7011.428571428572,13760468.0,9108510.0,4651958.0,,52.57,34.8,17.77,
Australia,2021-08-09/2021-08-15,1486978.0,1554690.0,745694.0,0.40685714285714286,8115.0,15315158.0,9905472.0,5409686.0,,58.51,37.84,20.67,
Australia,2021-08-16/2021-08-22,1701474.0,1807872.0,900128.0,0.49114285714285716,9285.42857142857,17123030.0,10882390.0,6240640.0,,65.41,41.57,23.84,
Australia,2021-08-23/2021-08-29,1878958.0,1929532.0,1034188.0,0.5642857142857143,10253.857142857143,19052562.0,11956986.0,7095576.0,,72.78,45.68,27.11,
Australia,2021-08-30/2021-09-05,1926848.0,1895952.0,1081223.0,0.59,10515.285714285714,20948514.0,13023788.0,7924726.0,,80.03,49.75,30.27,
